target_bits actual_bits table_time zeta_time inner_time divsum_time total_time
4000 736 0.000041 0.000041 62.410546 1.49363 67.50345800000001
8000 1285 0.000041 0.000041 135.90445400000002 3.664672 154.217041
12000 1789 0 0.000083 137.612212 6.147079 173.548958
16000 2272 0 0.000041 185.23570899999999 9.539504 251.856291
20000 2734 0.000041 0.000083 301.26101 13.600793999999999 401.06708299999997
24000 3186 0.000041 0.000083 314.360566 18.901606 466.543208
28000 3626 0.000041 0.000083 453.963271 24.405558 654.455708
32000 4059 0.000041 0.000083 588.514866 30.009253 856.093333
36000 4485 0 0.000041 651.224754 36.889634 994.199958
40000 4903 0 0.000041 852.360811 44.127997 1287.55775
44000 5317 0 0.000041 1247.043025 53.554048 1795.059541
48000 5727 0 0.000125 1466.393378 60.890489 2126.680041
52000 6131 0.000041 0.000041 1687.589773 70.289297 2476.0897910000003
56000 6533 0 0.000041 1909.274388 80.775354 2822.867333
60000 6931 0 0.000041 2230.770579 89.80977499999999 3312.8671249999998
64000 7325 0 0.000083 2430.9125919999997 100.42522 3661.639
68000 7716 0.000041 0.000166 3218.312687 113.579755 4671.198166
72000 8106 0 0.000041 4282.305531000001 126.456558 5914.415291
76000 8490 0.000041 0.000041 4586.670605 137.266339 6407.104666
80000 8874 0.000041 0.000041 4745.607568 149.803049 6784.498125
84000 9256 0.000041 0.000041 5099.2313810000005 164.57624900000002 7336.522625
88000 9634 0 0.000041 5993.348143 177.384202 8491.12525
